Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
325193,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,Borough,1,Bronx,2016,1/1/16,24
325240,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,Citywide,1,New York City,2016,1/1/16,23
325194,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,Borough,2,Brooklyn,2016,1/1/16,23
325195,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,Borough,3,Manhattan,2016,1/1/16,46.7
325196,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,Borough,4,Queens,2016,1/1/16,24.8
325299,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,503,Tottenville and Great Kills (CD3),2016,1/1/16,6.5
325239,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,504,South Beach - Tottenville,2016,1/1/16,6.6
325297,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,501,St. George and Stapleton (CD1),2016,1/1/16,11.3
325237,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,502,Stapleton - St. George,2016,1/1/16,13.2
325298,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,502,South Beach and Willowbrook (CD2),2016,1/1/16,11.8
325238,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,503,Willowbrook,2016,1/1/16,13.4
325295,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,413,Queens Village (CD13),2016,1/1/16,30.8
325296,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,414,Rockaway and Broad Channel (CD14),2016,1/1/16,6.9
325236,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,501,Port Richmond,2016,1/1/16,7
325292,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,410,South Ozone Park and Howard Beach (CD10),2016,1/1/16,32.3
325293,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,411,Bayside and Little Neck (CD11),2016,1/1/16,32.1
325294,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,412,Jamaica and Hollis (CD12),2016,1/1/16,16.8
325291,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,409,Kew Gardens and Woodhaven (CD9),2016,1/1/16,20.7
325235,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,410,Rockaways,2016,1/1/16,6.7
325233,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,408,Jamaica,2016,1/1/16,20.6
325290,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,408,Hillcrest and Fresh Meadows (CD8),2016,1/1/16,36
325234,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,409,Southeast Queens,2016,1/1/16,28.2
325231,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,406,Fresh Meadows,2016,1/1/16,36.2
325288,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,406,Rego Park and Forest Hills (CD6),2016,1/1/16,44.9
325232,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,407,Southwest Queens,2016,1/1/16,24.9
325289,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,407,Flushing and Whitestone (CD7),2016,1/1/16,20.8
325286,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,404,Elmhurst and Corona (CD4),2016,1/1/16,38.6
325230,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,405,Ridgewood - Forest Hills,2016,1/1/16,27.4
325287,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,405,Ridgewood and Maspeth (CD5),2016,1/1/16,20.6
325228,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,403,Flushing - Clearview,2016,1/1/16,21.1
325285,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,403,Jackson Heights (CD3),2016,1/1/16,34.6
325229,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,404,Bayside - Little Neck,2016,1/1/16,33.8
325283,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,401,Long Island City and Astoria (CD1),2016,1/1/16,17.8
325227,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,402,West Queens,2016,1/1/16,44.4
325284,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,402,Woodside and Sunnyside (CD2),2016,1/1/16,44.4
325281,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,317,East Flatbush (CD17),2016,1/1/16,22.6
325282,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,318,Flatlands and Canarsie (CD18),2016,1/1/16,15.5
325226,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,401,Long Island City - Astoria,2016,1/1/16,25.1
325278,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,314,Flatbush and Midwood (CD14),2016,1/1/16,20.5
325279,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,315,Sheepshead Bay (CD15),2016,1/1/16,22.8
325280,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,316,Brownsville (CD16),2016,1/1/16,25.7
325276,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,312,Borough Park (CD12),2016,1/1/16,26.2
325277,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,313,Coney Island (CD13),2016,1/1/16,19.7
325273,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,309,South Crown Heights and Lefferts Gardens (CD9),2016,1/1/16,22.4
325225,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,UHF42,310,Lower Manhattan,2016,1/1/16,36.3
325274,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,310,Bay Ridge and Dyker Heights (CD10),2016,1/1/16,28
325275,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,311,Bensonhurst (CD11),2016,1/1/16,18.4
325272,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,308,Crown Heights and Prospect Heights (CD8),2016,1/1/16,26.4
