BORO,INCIDENT_KEY,JURISDICTION_CODE,LOCATION_DESC,OCCUR_DATE,OCCUR_TIME,PERP_AGE_GROUP,PERP_RACE,PERP_SEX,PRECINCT,STATISTICAL_MURDER_FLAG,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
BRONX,191739126,2,MULTI DWELL - APT BUILD,1/1/19,2:19:00,25-44,BLACK HISPANIC,M,46,FALSE,25-44,BLACK,M
BROOKLYN,191709964,2,MULTI DWELL - PUBLIC HOUS,1/1/19,4:26:00,,,,75,TRUE,25-44,BLACK,M
BROOKLYN,191739125,2,MULTI DWELL - PUBLIC HOUS,1/1/19,5:40:00,,,,88,FALSE,18-24,BLACK,M
BROOKLYN,191790873,2,MULTI DWELL - PUBLIC HOUS,1/2/19,13:34:00,,,,79,FALSE,25-44,WHITE HISPANIC,M
BRONX,191851037,0,,1/3/19,21:00:00,,,,49,FALSE,25-44,BLACK,M
STATEN ISLAND,191851038,0,,1/3/19,23:00:00,,,,121,FALSE,18-24,BLACK,M
BROOKLYN,191853461,0,MULTI DWELL - APT BUILD,1/4/19,2:20:00,18-24,BLACK,M,60,FALSE,45-64,BLACK,M
BROOKLYN,191949899,2,,1/4/19,15:49:00,<18,BLACK,M,61,FALSE,<18,BLACK,M
STATEN ISLAND,191951589,0,,1/5/19,0:42:00,,,,120,FALSE,<18,BLACK HISPANIC,M
BRONX,191949902,0,,1/5/19,1:50:00,,,,43,FALSE,45-64,BLACK,M
QUEENS,191951587,2,MULTI DWELL - PUBLIC HOUS,1/5/19,16:00:00,,,,114,FALSE,18-24,BLACK,M
BRONX,191949900,0,,1/6/19,2:46:00,,,,41,FALSE,45-64,BLACK HISPANIC,M
BRONX,191951588,2,MULTI DWELL - PUBLIC HOUS,1/6/19,3:00:00,25-44,BLACK,M,43,TRUE,25-44,WHITE HISPANIC,M
BRONX,191951588,2,MULTI DWELL - PUBLIC HOUS,1/6/19,3:00:00,18-24,BLACK,M,43,TRUE,25-44,WHITE HISPANIC,M
BROOKLYN,191951586,2,MULTI DWELL - PUBLIC HOUS,1/6/19,23:36:00,,,,60,FALSE,25-44,BLACK,M
BRONX,191995443,2,MULTI DWELL - PUBLIC HOUS,1/7/19,19:19:00,25-44,BLACK,M,48,TRUE,25-44,BLACK,M
QUEENS,193118595,0,,1/7/19,19:30:00,,,,107,FALSE,25-44,BLACK,M
BRONX,191997175,0,,1/8/19,0:32:00,18-24,WHITE HISPANIC,M,42,FALSE,18-24,WHITE HISPANIC,M
BRONX,191997175,0,,1/8/19,0:32:00,18-24,BLACK,M,42,FALSE,18-24,WHITE HISPANIC,M
BROOKLYN,192049864,0,,1/8/19,11:03:00,,,,73,FALSE,25-44,BLACK,M
BRONX,192059857,0,,1/9/19,5:43:00,25-44,BLACK,M,47,TRUE,25-44,BLACK,M
BROOKLYN,192159800,2,MULTI DWELL - PUBLIC HOUS,1/11/19,1:30:00,,,,69,FALSE,25-44,BLACK,M
BRONX,192259534,0,MULTI DWELL - APT BUILD,1/11/19,15:15:00,,,,46,FALSE,18-24,WHITE HISPANIC,M
BROOKLYN,192259537,0,,1/12/19,5:24:00,,,,79,FALSE,25-44,BLACK,F
QUEENS,192259535,0,PVT HOUSE,1/12/19,5:47:00,18-24,WHITE,M,109,FALSE,18-24,BLACK HISPANIC,F
BROOKLYN,192258907,0,,1/13/19,4:00:00,,,,79,FALSE,25-44,BLACK,M
BROOKLYN,192259533,0,,1/13/19,6:00:00,,,,70,FALSE,25-44,BLACK,M
BROOKLYN,192258906,2,MULTI DWELL - PUBLIC HOUS,1/13/19,13:35:00,,,,77,TRUE,25-44,BLACK,M
MANHATTAN,192259536,0,,1/13/19,19:55:00,,,,32,FALSE,45-64,BLACK,M
QUEENS,192258908,0,,1/13/19,22:11:00,,,,113,TRUE,25-44,BLACK,M
QUEENS,192258908,0,,1/13/19,22:11:00,,,,113,FALSE,25-44,BLACK,M
BROOKLYN,192301917,0,PVT HOUSE,1/14/19,11:55:00,25-44,BLACK,M,75,FALSE,25-44,BLACK,M
BROOKLYN,192301917,0,PVT HOUSE,1/14/19,11:55:00,45-64,BLACK,F,75,FALSE,25-44,BLACK,M
BROOKLYN,192301916,0,,1/14/19,17:10:00,25-44,BLACK,M,75,FALSE,18-24,BLACK,M
BROOKLYN,192301916,0,,1/14/19,17:10:00,18-24,BLACK,M,75,FALSE,18-24,BLACK,M
BRONX,192455949,2,,1/17/19,13:18:00,25-44,WHITE HISPANIC,M,46,FALSE,<18,WHITE HISPANIC,M
BROOKLYN,192440376,2,MULTI DWELL - PUBLIC HOUS,1/17/19,13:20:00,,,,79,TRUE,25-44,WHITE HISPANIC,M
BRONX,192545746,0,,1/18/19,18:32:00,,,,40,FALSE,45-64,BLACK HISPANIC,M
MANHATTAN,192545748,2,MULTI DWELL - PUBLIC HOUS,1/19/19,0:43:00,,,,32,TRUE,25-44,BLACK,M
QUEENS,192545749,0,,1/19/19,4:00:00,,,,109,TRUE,25-44,BLACK,M
QUEENS,192545749,0,,1/19/19,4:00:00,,,,109,FALSE,25-44,BLACK,M
BRONX,192545750,0,,1/19/19,14:36:00,,,,43,FALSE,25-44,BLACK,M
MANHATTAN,192545747,0,,1/19/19,19:30:00,,,,23,FALSE,<18,WHITE HISPANIC,M
