BORO,LOCATION_DESC,OCCUR_DATE,OCCUR_TIME,PERP_AGE_GROUP,PERP_RACE,PERP_SEX,PRECINCT,STATISTICAL_MURDER_FLAG,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
BROOKLYN,,1/1/20,2:35:00,,,,77,FALSE,18-24,BLACK,M
BRONX,MULTI DWELL - PUBLIC HOUS,1/1/20,10:29:00,25-44,BLACK,M,43,TRUE,25-44,BLACK,M
BRONX,MULTI DWELL - PUBLIC HOUS,1/1/20,10:29:00,25-44,BLACK,F,43,TRUE,25-44,BLACK,M
MANHATTAN,,1/1/20,21:47:00,25-44,BLACK,M,24,TRUE,25-44,BLACK,M
BROOKLYN,,1/2/20,4:10:00,,,,67,FALSE,25-44,BLACK,M
MANHATTAN,MULTI DWELL - PUBLIC HOUS,1/2/20,16:25:00,25-44,BLACK,M,25,FALSE,25-44,BLACK,M
MANHATTAN,MULTI DWELL - PUBLIC HOUS,1/2/20,16:25:00,18-24,BLACK,M,25,FALSE,25-44,BLACK,M
BROOKLYN,,1/2/20,19:30:00,25-44,WHITE HISPANIC,M,72,FALSE,18-24,WHITE,F
BROOKLYN,,1/2/20,20:20:00,,,,72,FALSE,25-44,WHITE HISPANIC,M
BROOKLYN,,1/2/20,20:20:00,,,,72,FALSE,18-24,WHITE HISPANIC,M
BROOKLYN,MULTI DWELL - PUBLIC HOUS,1/2/20,21:12:00,18-24,BLACK,M,88,FALSE,25-44,BLACK,M
BROOKLYN,,1/2/20,21:37:00,18-24,BLACK,F,63,FALSE,25-44,WHITE,M
BRONX,,1/3/20,17:30:00,,,,44,FALSE,18-24,WHITE HISPANIC,M
QUEENS,,1/4/20,3:46:00,,,,103,FALSE,25-44,BLACK,M
BROOKLYN,MULTI DWELL - PUBLIC HOUS,1/4/20,5:19:00,,,,88,FALSE,18-24,BLACK,M
QUEENS,CHAIN STORE,1/4/20,23:38:00,,,,113,FALSE,25-44,BLACK,M
MANHATTAN,,1/5/20,2:20:00,,,,34,FALSE,18-24,BLACK,M
BROOKLYN,GROCERY/BODEGA,1/5/20,14:25:00,,,,79,FALSE,18-24,BLACK,M
BROOKLYN,,1/5/20,21:57:00,45-64,WHITE HISPANIC,M,79,FALSE,25-44,BLACK,M
BRONX,MULTI DWELL - PUBLIC HOUS,1/6/20,14:15:00,45-64,BLACK HISPANIC,M,50,FALSE,25-44,BLACK,M
QUEENS,MULTI DWELL - PUBLIC HOUS,1/7/20,13:30:00,,,,101,FALSE,25-44,BLACK HISPANIC,M
BROOKLYN,,1/7/20,16:43:00,<18,BLACK,M,67,FALSE,<18,BLACK,M
BROOKLYN,,1/7/20,16:43:00,18-24,BLACK,M,67,FALSE,<18,BLACK,M
BROOKLYN,,1/7/20,17:10:00,,,,75,FALSE,18-24,BLACK,M
BRONX,DEPT STORE,1/7/20,21:00:00,25-44,BLACK,F,45,FALSE,45-64,WHITE,M
BRONX,DEPT STORE,1/7/20,21:00:00,25-44,BLACK,M,45,FALSE,45-64,WHITE,M
BROOKLYN,MULTI DWELL - PUBLIC HOUS,1/7/20,23:00:00,,,,81,FALSE,18-24,BLACK,M
MANHATTAN,,1/9/20,3:34:00,25-44,BLACK,M,9,TRUE,25-44,BLACK,M
BROOKLYN,,1/9/20,11:30:00,,,,77,FALSE,18-24,WHITE HISPANIC,M
MANHATTAN,,1/10/20,3:38:00,,,,30,FALSE,25-44,ASIAN / PACIFIC ISLANDER,M
BRONX,,1/11/20,3:02:00,,,,40,FALSE,18-24,BLACK,M
STATEN ISLAND,,1/11/20,16:00:00,<18,BLACK,M,121,FALSE,18-24,BLACK,M
QUEENS,COMMERCIAL BLDG,1/11/20,21:30:00,,,,103,FALSE,25-44,BLACK,M
BRONX,,1/11/20,21:45:00,25-44,BLACK,M,41,FALSE,25-44,WHITE HISPANIC,M
BRONX,,1/11/20,22:37:00,25-44,BLACK,M,44,TRUE,25-44,BLACK,M
BRONX,,1/11/20,22:37:00,18-24,BLACK,M,44,TRUE,25-44,BLACK,M
BRONX,,1/12/20,0:50:00,,,,47,FALSE,25-44,BLACK,M
BRONX,MULTI DWELL - PUBLIC HOUS,1/12/20,12:05:00,,,,41,FALSE,18-24,BLACK,M
